Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Pål,Gundersen,Nielsenspranget 2B,Anitagrunn,6335,Norge,NO,19900209-1341,+47,39107534,1990-02-09,True
Ingeborg,Larsson,Fabriksgränd 039,Sandviken,71334,Sverige,SE,19590120-0698,+46,+46 (0)8 237 786 73,1959-01-20,True
Hamid,Nilsson,Skoltorget 740,Skövde,32510,Sverige,SE,19831212-2154,+46,+46 (0)146 338 68,1983-12-12,True
Alan,Larsson,Bäckgränd 683,Nyköping,16625,Sverige,SE,19600926-0144,+46,023-806 85 99,1960-09-26,True
Timo,Holmström,Ahomäenbulevardi 3,Lapinlahti,05781,Finland,FI,19560222-617M,+358,040 505 7688,1956-02-22,True
Bernhard,Pettersson,Strandgatan 4,Piteå,10961,Sverige,SE,19900114-0318,+46,+46 (0)8 934 299 21,1990-01-14,True
Rolf,Bakken,Hansenmarka 4D,Hagen,5452,Norge,NO,19400829-5069,+47,+4714322362,1940-08-29,True
Kristin,Sims,John Hills 2686,Buckleyfort,97387,Danmark,DK,19480409-1289,+45,2164267838,1948-04-09,True
Frederick,Beltran,Davis Motorway 09741,North George,50386,Danmark,DK,19700813-7738,+45,434.265.3609,1970-08-13,True
Christina,Abdi,Ängsstigen 99,Malmö,23373,Sverige,SE,19700828-4553,+46,0428-279 66,1970-08-28,True
Maria,Lilja,Nyvägen 3,Gävle,46543,Sverige,SE,19700522-3007,+46,+46 (0)75 24 88 50,1970-05-22,True
Malin,Haug,Nygårdstranda 887,Thomassen,5527,Norgf,NO,19811016-2019,+47,+47 24 93 93 63,1981-10-16,True
Elias,Välimäki,Ilveskuja 64,Pirkkala,26295,Finland,FI,19730922-209Y,+358,+358 21 0971788,1973-09-22,True
Helén,Mattsson,Industrigränd 30,Stockholm,87354,Sverige,SE,19911113-7163,+46,0621-04 36 27,1991-11-13,True
Oscar,Lundin,Åkertorget 409,Skellefteå,96557,Sverige,SE,19971022-8524,+46,+46 (0)8 145 473 38,1997-10-22,True
Walter,Olausson,Industrivägen 6,Västerås,70784,Sverige,SE,19870710-1410,+46,0200-20 88 65,1987-07-10,True
Daniella,Larsson,Åkergatan 4,Uddevalla,39895,Sverige,SE,19780628-6985,+46,+46 (0)55 25 08 90,1978-06-28,True
Brenda,Cook,Cynthia Alley 7485,Kingview,05922,Danmark,DK,19580306-2474,+45,693-606-4344,1958-03-06,True
Karoline,Svendsen,Bergstranda 559,Jennybø,4740,Norge,NO,19581026-3507,+47,81187100,1958-10-26,True
Margareta,Löfgren,Villagatan 370,Kristianstad,60633,Sverige,SE,19870210-0262,+46,+46 (0)8 517 238 93,1987-02-10,True
Urban,Gustafsson,Bäckgatan 90,Lund,74156,Sverige,SE,20000110-1228,+46,08-55 52 71,2000-01-10,True
Michelle,Patrick,Cooper Viaduct 499,New Carl,39938,Danmark,DK,19550627-8626,+45,5597314461,1955-06-27,True
Sara,George,Stone Mountain 829,Lake Johnchester,90201,Danmark,DK,19780807-8936,+45,498-762-8053,1978-08-07,True
Viktor,Johansson,Kvarngatan 6,Uddevalla,79369,Sverige,SE,19751220-2681,+46,+46 (0)8 871 089 45,1975-12-20,True
Mari,Amundsen,Antonsenplassen 1,Hegeøy,4146,Norge,NO,19930122-6698,+47,00199916,1993-01-22,True
Susanne,Lundell,Kyrkgatan 302,Lund,61000,Sverige,SE,19420609-3659,+46,+46 (0)947 430 26,1942-06-09,True
Marianne,Larsson,Strandvägen 147,Gävle,56340,Sverige,SE,19450411-9873,+46,033-16 75 21,1945-04-11,True
Anders,Abrahamsson,Bäcktorget 1,Eskilstuna,99639,Sverige,SE,19741203-1795,+46,+46 (0)44 27 20 18,1974-12-03,True
Eric,Andersson,Stationsgatan 10,Karlskoga,89121,Sverige,SE,19810308-4075,+46,08-014 46 43,1981-03-08,True
Else,Eliassen,Haugenekra 82,Moen,1723,Norge,NO,19420622-1367,+47,44116926,1942-06-22,True
Ann,Johannessen,Haughaugen 2,Bjørnhavn,0454,Norge,NO,19990516-1319,+47,905 26 760,1999-05-16,True
Dawn,Pacheco,Dunn Ferry 103,Moralesborough,82678,Danmark,DK,19900404-6189,+45,633.388.2507,1990-04-04,True
Elisabeth,Rasmussen,Myhreskogen 87,Kimmark,2551,Norge,NO,19621214-0752,+47,50414341,1962-12-14,True
Turid,Ellingsen,Sørensenflata 5,Helenefjord,2947,Norge,NO,19761208-7754,+47,79769764,1976-12-08,True
Majken,Abdi,Järnvägstorget 93,Linköping,88465,Sverige,SE,19550715-8691,+46,08-240 271 20,1955-07-15,True
Betty,Gutierrez,Stephen Mill 3090,New Davidmouth,69346,Danmark,DK,19771122-7872,+45,(427)807-0451,1977-11-22,True
Ines,Hagström,Skogstorget 816,Östersund,67597,Sverige,SE,19470905-7874,+46,+46 (0)8 775 941 25,1947-09-05,True
Grethe,Amundsen,Lundrøa 3,Emilienes,1535,Norge,NO,19580202-0564,+47,481 27 941,1958-02-02,True
Sindre,Sæther,Bakkehagen 78,Fredriksen,4953,Norge,NO,19880316-8119,+47,92 01 27 40,1988-03-16,True
Ingrid,Mathisen,Myhreekra 1,Iversen,6571,Norge,NO,19631105-5334,+47,13878037,1963-11-05,True
Joseph,Burns,Gray Expressway 2011,East Haley,72620,Danmark,DK,19920307-5938,+45,(989)549-3669x18023,1992-03-07,True
Magnus,Martinsen,Sætherlyngen 6,Nilsstrøm,3116,Norge,NO,19660903-5394,47,77 88 26 89,1966-09-03,True
Göte,Karlsson,Backstigen 2,Mölndal,60031,Sverige,SE,19780803-9868,+46,+46 (0)00 83 65 58,1978-08-03,True
Thomas,Karlsen,Eriksensvingen 20,Tangen,6978,Norge,NO,19800409-2308,+47,959 18 271,1980-04-09,True
Nils,Svensson,Granstigen 4,Uppsala,14414,Sverige,SE,19700402-3479,+46,08-79 39 05,1970-04-02,True
José,Holmström,Bäckvägen 2,Skellefteå,19901,Sverige,SE,19790818-6235,+46,0834-124 48,1979-08-18,True
Erik,Eriksson,Ringgränd 25,Göteborg,72293,Sverige,SE,19670521-4162,+46,062-40 19 02,1967-05-21,True
George,Bolton,Roberts Trafficway 905,New Ray,59259,Danmark,DK,19860917-8273,+45,982-447-0493x2008,1986-09-17,True
Astrid,Haugland,Nilsenfaret 6,Tonjestrøm,4180,Norge,NO,19700410-8681,+47,66119641,1970-04-10,True
Inger,Gustafsson,Skolvägen 686,Sundsvall,35803,Sverige,SE,19450125-2390,+46,+46 (0)071 798 27,1945-01-25,True
Anna,Alm,Kvarnvägen 325,Borås,75066,Sverige,SE,19940602-0749,+46,+46 (0)411 413 57,1994-06-02,True
Mathilda,Petersson,Kyrkgatan 837,Gävle,18448,Sverige,SE,19740608-7619,+46,0052-008 66,1974-06-08,True
Antero,Persson,Ringtorget 750,Örebro,15293,Sverige,SE,19600313-6940,+46,08-992 540 24,1960-03-13,True
Jonas,Arnesen,Sørensenskogen 741,Ruud,5463,Norge,NO,19740610-7803,+47,950 12 340,1974-06-10,True
Solveig,Singh,Nytorget 6,Östersund,76656,Sverige,SE,19850215-5693,46,0852-09 03 94,1985-02-15,True
Bo,Mattsson,Trädgårdsgatan 33,Karlskrona,21685,Sverige,SE,19671205-8728,+46,076-962 43 77,1967-12-05,True
Thea,Mathisen,Madseneggen 64,Johnsen,5426,Norge,NO,19490122-5669,+47,94 39 56 59,1949-01-22,True
Siv,Eriksson,Järnvägsvägen 929,Eskilstuna,73329,Sverige,SE,19950922-0611,+46,+46 (0)210 971 11,1995-09-22,True
Hans,Jenssen,Andreasseneggen 1,Aas,6949,Norge,NO,19620213-6110,+47,21364334,1962-02-13,True
Maria,Alfredsson,Strandgatan 380,Stockholm,74853,Sverige,SE,19820413-8470,+46,+46 (0)423 231 56,1982-04-13,True
Arvid,Andersson,Parkstigen 625,Sandviken,89444,Sverige,SE,19520312-0075,+46,08-155 744 13,1952-03-12,True
Finn,Johnsen,Rasmussengrenda 25,Kristinegrunn,9963,Norge,NO,19890720-5667,+47,98914983,1989-07-20,True
Inger,Hansen,Nguyenflata 95F,Annafjord,8814,Norge,NO,19440322-6751,+47,432 50 997,1944-03-22,True
Charlotta,Johansson,Skolvägen 5,Umeå,39610,Sverige,SE,19570416-8522,+46,08-38 39 38,1957-04-16,True
Emma,Ericson,Ringgränd 529,Borås,79900,Sverige,SE,19790810-0025,+46,08-643 55 66,1979-08-10,True
Åse,Abrahamsen,Moenstubben 78,Thorsen,5500,Norge,NO,19570216-8746,+47,98 02 72 88,1957-02-16,True
Unni,Jacobsen,Haugskogen 1,Berg,4123,Norge,NO,19620516-1768,+47,75 44 15 77,1962-05-16,True
Neil,Patel,Tina Lock 9422,Matthewview,48694,Danmark,DK,19730921-4557,+45,+1-944-550-4971x51163,1973-09-21,True
Gustav,Aronsson,Storvägen 73,Jönköping,72497,Sverige,SE,19900212-0473,+46,08-420 35 87,1990-02-12,True
Carita,Kivelä,Franzéninkatu 56,Lapua,99211,Finland,FI,19560722-4581,+358,+358 43 0031066,1956-07-22,True
Kristoffer,Solheim,Strandhaugen 8D,Nguyen,0290,Norge,NO,19460826-5945,+47,+47 87 70 03 11,1946-08-26,True
Camilla,Aune,Eidetoppen 5D,Karlfjell,6479,Norge,NO,19820527-0381,+47,43001390,1982-05-27,True
Lea,Kankaanpää,Salamabulevardi 6,Karkkila,68580,Finland,FI,19721009-633B,+358,0587069178,1972-10-09,True
Linn,Amundsen,Jørgensenalléen 7D,Kristofferborg,7637,Norge,NO,19880106-5892,+47,928 49 425,1988-01-06,True
Anette,Vik,Nielsenmarka 1,Kjetiløy,7311,Norge,NO,19610806-8588,+47,+47 38 86 88 67,1961-08-06,True
Tracy,Cortez,Stephen Mill 98738,Caitlinbury,20213,Danmark,DK,19900716-9103,+45,737.811.3346x86317,1990-07-16,True
Iréne,Johansson,Ängsgränd 922,Kristianstad,99950,Sverige,SE,19911021-5526,+46,08-336 460 21,1991-10-21,True
Maren,Berge,Johnsenvollen 4A,Karolinestrøm,8183,Norge,NO,19741216-4992,+47,+4748906164,1974-12-16,True
Craig,Coleman,King Gardens 85032,New Manuel,25109,Danmark,DK,19631027-2799,+45,+1-727-477-6837x87050,1963-10-27,True
Mason,Contreras,Darrell Bridge 88567,Lake Carolyn,80513,Danmark,DK,19880829-8600,+45,001-655-214-2239x409,1988-08-29,True
Marita,Hansen,Skolgatan 37,Karlstad,95941,Sverige,SE,19610506-8715,+46,+46 (0)34 13 87 11,1961-05-06,True
Kenneth,Lunde,Berggropa 2A,Torbjørnvik,4052,Norge,NO,19520220-6094,+47,56019560,1952-02-20,True
Hilma,Svensson,Ekgatan 1,Uppsala,53418,Sverige,SE,19570807-9576,+46,08-553 433 83,1957-08-07,True
Olivia,Pihl,Skolgatan 57,Borlänge,85535,Sverige,SE,19711005-2589,+46,08-738 40 10,1971-10-05,True
Siv,Bengtsson,Ängsvägen 627,Trollhättan,56990,Sverige,SE,19640219-5034,+46,08-675 840 60,1964-02-19,True
Ivar,Hanssen,Eliassenstien 78B,Ruud,5211,Norge,NO,19840422-2052,+47,43428819,1984-04-22,True
Roar,Aasen,Brekkehavna 252,Stianhelle,5258,Norge,NO,19501007-2075,+47,00 17 88 95,1950-10-07,True
Jorunn,Dahl,Engenlyngen 69A,Thorstrøm,8013,Norge,NO,19500524-4765,47,92110373,1950-05-24,True
Muhammad,Andersson,Parkgatan 46,Stockholm,49245,Sverige,SE,19980605-6321,+46,+46 (0)839 921 68,1998-06-05,True
Kurt,Lindquist,Kyrkvägen 3,Lidköping,55693,Sverige,SE,19430704-9840,+46,087-938 96 98,1943-07-04,True
David,Lilja,Kvarnstigen 60,Uddevalla,31036,Sverige,SE,19630216-1580,+46,08-792 69 60,1963-02-16,True
Åsa,Bengtsson,Skolvägen 474,Helsingborg,84393,Sverige,SE,19420314-9097,+46,0811-744 14,1942-03-14,True
Frode,Svendsen,Larsentjernet 5,Hansen,2694,Norge,NO,19630506-9857,+47,93740237,1963-05-06,True
Frode,Jacobsen,Bøekollen 21C,Rønning,7211,Norge,NO,19580308-2846,+47,+4729590872,1958-03-08,True
Emma,Thorsen,Eliassenmarka 79,Isaksen,9514,Norge,NO,19430401-6891,+47,+47 48 06 36 20,1943-04-01,True
Hugo,Lind,Bäcktorget 0,Borlänge,71361,Sverige,SE,19620403-5755,+46,+46 (0)635 325 60,1962-04-03,True
Tobias,Mikkelsen,Andersenmoen 8F,Haugland,9911,Norge,NO,19651017-4050,+45,33 58 47 88,1965-10-17,True
Ida,Birkeland,Hellandhaugen 4,Bakke,9833,Norge,NO,19731107-4995,+47,451 30 124,1973-11-07,True
Jenny,Lind,Grantorget 670,Ängelholm,38215,Sverige,SE,19460701-7416,+46,08-58 61 65,1946-07-01,True
Daniela,Eriksson,Grangatan 530,Östersund,78866,Sverige,SE,19640303-1427,+46,0633-70 77 64,1964-03-03,True
Gun,Karlsson,Skogsvägen 6,Karlskrona,15649,Sverige,SE,19561001-2387,+46,08-92 07 87,1956-10-01,True
Tony,Hall,John Squares 0361,Port James,27198,Danmark,DK,19480125-0442,+45,(788)403-1515x3361,1948-01-25,False
Gerd,Antonsen,Bergholtet 58,Christensen,7732,Norge,NO,19560508-9704,+47,40287531,1956-05-08,True
Elisabeth,Knudsen,Halvorsenstubben 56C,Myklebust,7597,Norge,NO,19820706-1250,+47,21 07 21 22,1982-07-06,True
Elin,Evensen,Ahmedalléen 9,Asbjørnnes,4544,Norge,NO,19880207-9684,+47,08194254,1988-02-07,True
Christopher,Gomez,Jennifer Estates 10818,South Ashley,32962,Danmark,DK,19600427-3848,+45,001-541-322-6067x0536,1960-04-27,True
Austin,Rogers,Becky Corners 59385,Lake Stephanie,98162,Danmark,DK,19910928-1962,+45,8207873230,1991-09-28,True
Linus,Svensson,Strandvägen 730,Luleå,35017,Sverige,SE,19811116-2604,+46,044-014 41 17,1981-11-16,True
Ilona,Rantala,Gunillanpolku 876,Kitee,43645,Finland,FI,19960711-872B,+358,+358 47 9080954,1996-07-11,True
Edward,Santana,Brian Mount 94459,Natashaville,50366,Danmark,DK,19481228-2218,+45,(581)598-0746,1948-12-28,True
Henrik,Linder,Parktorget 639,Västerås,76681,Sverige,SE,19510106-0571,+46,+46 (0)558 826 32,1951-01-06,False
Leif,Svensson,Parkgränd 04,Linköping,75412,Sverige,SE,19660331-7516,+46,058-357 11 25,1966-03-31,True
Frank,Edvardsen,Andersentjernet 43,Roystrøm,8656,Nurge,NO,19671220-9021,+47,91540567,1967-12-20,True
Isak,Pedersen,Stationsgränd 399,Falun,93735,Sverige,SE,19991012-3892,+46,0510-329 90,1999-10-12,True
Liam,Sjödin,Ängsvägen 439,Skövde,44572,Sverige,SE,19981018-4294,+46,+46 (0)8 279 664 60,1998-10-18,True
Trine,Johansen,Jacobsenkroken 3,Sverrehelle,2577,Norge,NO,19970204-8176,+47,76 00 24 24,1997-02-04,True
Trevor,Mcdonald,Parker Brook 01760,Port Shannonport,69886,Danmark,DK,19680313-1884,+45,996.285.0207x44908,1968-03-13,True
Kåre,Paulsen,Sæthersvingen 6C,Nilsen,1229,Norge,NO,19581227-6939,+47,88 83 02 33,1958-12-27,True
Simen,Svendsen,Knutsenplassen 5,Tangen,6213,Norge,NO,19481030-6307,+47,951 09 935,1948-10-30,True
Elisabeth,Lilja,Ekvägen 4,Luleå,14093,Sverige,SE,19601026-0349,+46,08-30 28 94,1960-10-26,True
Malte,Johansson,Skolvägen 09,Sundsvall,15847,Sverige,SE,19840804-4362,+46,0483-11 92 48,1984-08-04,True
Elisabeth,Bergström,Strandvägen 2,Motala,20352,Sverige,SE,19510815-8602,+46,+46 (0)8 363 343 80,1951-08-15,True
Oskar,Lind,Ängstorget 1,Lidingö,95976,Sverige,SE,19571215-9234,+46,087-27 16 41,1957-12-15,True
Caroline,Abrahamsson,Furugränd 17,Helsingborg,98923,Sverige,SE,19980112-1443,+46,08-319 69 69,1998-01-12,True
Mikael,Nilsson,Furuvägen 680,Göteborg,98765,Sverige,SE,19620702-4367,+46,0829-890 27,1962-07-02,True
Aron,Wester,Kvarngatan 26,Gävle,77502,Sverige,SE,19440218-8729,+46,083-36 48 29,1944-02-18,True
Nils,Tveit,Thomassenskrenten 7B,Fredrikberg,4422,Norge,NO,19550218-1004,+47,+4787657802,1955-02-18,True
Birgit,Nilsson,Skoltorget 84,Lidingö,34202,Sverige,SE,19510228-9694,+46,+46 (0)8 464 068 27,1951-02-28,True
Håkan,Johnsson,Kvarnvägen 025,Växjö,37711,Sverige,SE,19711012-5979,+46,059-80 46 04,1971-10-12,True
Mona,Hjalmarsson,Kyrkgatan 062,Lidingö,23960,Sverige,SE,19860328-1557,+46,+46 (0)8 793 670 45,1986-03-28,True
Håkan,Jensen,Aspgatan 72,Falun,17876,Sverige,SE,19631029-4332,+46,0846-99 82 49,1963-10-29,True
Lena,Karlström,Fabriksvägen 00,Nyköping,40594,Sverige,SE,19600517-2796,+46,+46 (0)14 13 07 94,1960-05-17,True
Eivind,Engen,Halvorsenholtet 2,Myklebust,2132,Norge,NO,20000728-3665,+47,958 79 183,2000-07-28,True
Laila,Eliassen,Knudsensvingen 4F,Tomeid,3184,Norge,NO,19460426-7033,+47,+4783177353,1946-04-26,True
Torbjørn,Mikkelsen,Mikkelsenhavna 78,Johannessen,2223,Norge,NO,19920425-7600,+47,421 41 215,1992-04-25,True
Karl,Öberg,Kvarngränd 902,Karlskoga,46611,Sverige,SE,19961020-6911,+46,08-38 50 23,1996-10-20,True
David,Ibrahim,Strandgatan 045,Östersund,55748,Sverige,SE,19681231-3741,+46,+46 (0)578 785 11,1968-12-31,True
Tom,Mikkelsen,Lundevika 6B,Hanssen,8594,Norge,NO,19471215-3656,+47,34 00 64 78,1947-12-15,True
Elina,Nieminen,Lepolanpolku 40,Jämijärvi,59231,Finland,FI,19740801-875U,+358,+358 967163649,1974-08-01,True
Per,Svensson,Ängsstigen 4,Växjö,33475,Sverige,SE,19980602-3149,+46,08-680 469 34,1998-06-02,True
Ann-Charlotte,Bergman,Nystigen 807,Lund,52986,Sverige,SE,19961001-7437,+46,08-700 69 15,1996-10-01,True
Heléne,Berg,Grantorget 2,Gävle,65550,Sverige,SE,19710814-8724,+46,+46 (0)758 762 23,1971-08-14,True
Alexander,Hauge,Nilsenholtet 53E,Ruthby,7060,Norge,NO,19710520-7190,+47,+4756215999,1971-05-20,True
Tapani,Hyttinen,Werner Wirénin kuja 4,Karstula,36053,Finland,FI,19680214-5152,+358,+358 63 9801405,1968-02-14,True
Malte,Jonsson,Parkstigen 19,Varberg,63856,Sverige,SE,19851222-8650,+46,+46 (0)94 59 42 32,1985-12-22,True
Arne,Magnusson,Idrottsstigen 22,Sandviken,59402,Sverige,SE,19890629-8547,+46,08-81 12 86,1989-06-29,True
Isac,Edlund,Björkvägen 4,Kalmar,97468,Sverige,SE,19571202-7412,+46,0012-47 00 20,1957-12-02,True
Inez,Hjalmarsson,Ringstigen 7,Gävle,92479,Sverige,SE,19591219-9772,+46,08-500 887 56,1959-12-19,True
Adrian,Nilsson,Strandgränd 959,Örebro,45567,Sverige,SE,19930125-8728,+46,018-475 26 66,1993-01-25,True
Trine,Berg,Andersenkollen 5,Moe,0254,Norge,NO,19910828-6571,+47,84092309,1991-08-28,True
Bianca,Vincent,Alexander Greens 39077,Brianside,77212,Danmark,DK,19640721-1182,+45,2584313277,1964-07-21,True
Jenny,Bäckström,Nygatan 08,Stockholm,82775,Sverige,SE,19590729-6953,+46,094-875 15 24,1959-07-29,True
Inger,Martinsson,Furuvägen 7,Växjö,47945,Sverige,SE,19520410-1081,+46,020-271 45 08,1952-04-10,True
Lene,Tveit,Kristensenalléen 5,Berithavn,3995,Norge,NO,19750331-6108,+47,+47 37 93 52 53,1975-03-31,True
Ture,Rasmussen,Järnvägstorget 8,Kristianstad,12239,Sverige,SE,19411028-1068,+46,+46 (0)8 976 364 34,1941-10-28,True
John,Alexander,Samantha Manors 4542,North Lindsayfurt,95168,Danmark,DK,19620920-1982,+45,+1-793-984-8581,1962-09-20,True
Axel,Nylander,Skogsvägen 6,Örnsköldsvik,88026,Sverige,SE,19900710-0955,+46,088-30 14 33,1990-07-10,True
Katherine,Baird,Katelyn Rue 04725,Port Bryce,10618,Danmark,DK,19550302-2889,+45,(700)909-4062x2652,1955-03-02,True
Leevi,Kauppinen,Jättiläisenkatu 95,Viitasaari,35099,Finland,FI,19571208-837K,+358,+358 664330870,1957-12-08,True
Wilhelm,Andersson,Skolgränd 932,Örnsköldsvik,63101,Sverige,SE,19680724-6472,+46,0955-486 78,1968-07-24,True
Sondre,Hanssen,Aasenlyngen 9,Jørgenstrøm,3917,Norge,NO,19840304-8429,+47,81104425,1984-03-04,True
John,Nguyen,Jenssenberget 889,Randistrøm,3111,Norge,NO,19970721-9771,+47,47008740,1997-07-21,True
Cornelia,Lundgren,Björkgatan 141,Falun,78571,Sverige,SE,19690707-9522,+46,08-846 16 95,1969-07-07,True
Jennifer,Howard,Chelsea Oval 7608,East Krystalstad,34364,Danmark,DK,19611230-6454,+45,001-358-535-1519,1961-12-30,True
Karin,Haugen,Henriksenlyngen 88,Christensen,7793,Norge,NO,19470217-6169,+47,06 89 25 81,1947-02-17,True
Louise,Hanna,Gengatan 682,Lidköping,37083,Sverige,SE,19890823-7650,+46,078-08 19 37,1989-08-23,True
José,Ek,Ängsgatan 7,Umeå,55406,Sverige,SE,19430825-8288,+46,+46 (0)793 595 16,1943-08-25,True
Lise-Lotte,Björklund,Kvarnvägen 760,Borås,42083,Sverige,SE,19460219-4782,+46,08-483 488 03,1946-02-19,True
Ingrid,Nguyen,Jakobsenberget 8,Bakken,9683,Norge,NO,19610525-9945,+47,928 93 055,1961-05-25,True
Sofie,Nordberg,Kvarntorget 34,Alingsås,60097,Sverige,SE,19771011-3348,+46,0141-36 21 75,1977-10-11,False
Eva,Hedlund,Järnvägsvägen 565,Uppsala,20699,Sverige,SE,19860507-2719,+46,08-373 58 82,1986-05-07,True
Ingrid,Jönsson,Storgatan 32,Umeå,78100,Sverige,SE,19961006-7554,+46,08-393 00 13,1996-10-06,True
Angela,Campbell,Williams Green 4593,Vangburgh,54022,Danmark,DK,19560726-6602,+45,+1-845-864-6849x7313,1956-07-26,True
David,Strand,Furugatan 571,Norrköping,93206,Sverige,SE,19970810-5615,+46,017-999 00 57,1997-08-10,True
Clinton,James,Adams Land 65675,Lake Christinatown,51827,Danmark,DK,19460204-3778,+45,272-934-2407,1946-02-04,True
Majvor,Grönlund,Kvarnvägen 7,Örebro,56162,Sverige,SE,19770527-8021,+46,081-40 36 67,1977-05-27,True
Elisabeth,Hansson,Backgränd 76,Karlstad,25551,Sverige,SE,19981010-8443,+46,0489-515 47,1998-10-10,True
Elin,Ekström,Bäckgränd 009,Västerås,41738,Sverige,SE,19910216-2838,+46,08-941 672 38,1991-02-16,True
John,Bell,Mark Locks 489,North Shirleyfurt,11704,Danmark,DK,19710310-7342,+45,001-731-542-3387x686,1971-03-10,True
Joseph,Miller,Aaron Keys 554,Grayfort,38627,Danmark,DK,19610804-3376,+45,269-617-8053,1961-08-04,True
Pernilla,Andersson,Parkgatan 86,Stockholm,92569,Sverige,SE,19530430-3408,+46,08-443 058 04,1953-04-30,True
Ingemar,Forsberg,Fabriksgatan 2,Kalmar,93338,Sverige,SE,19720320-3133,+46,08-26 00 99,1972-03-20,True
Alex,Carlsson,Parkgatan 99,Lidköping,81168,Sverige,SE,19900131-0429,+46,08-975 75 99,1990-01-31,True
Jakob,Broberg,Trädgårdsvägen 1,Jönköping,92590,Sverige,SE,19701004-2230,+46,+46 (0)88 53 20 25,1970-10-04,True
Samuel,Göransson,Strandgatan 6,Falun,95916,Sverige,SE,19490311-2547,+46,08-53 92 22,1949-03-11,True
Suzanne,Romero,Francisco Skyway 022,Ryanton,28319,Danmark,DK,19900722-1949,+45,(755)927-6153x5181,1990-07-22,True
Larry,Barrett,Werner Cove 1920,North Danielbury,63132,Danmark,DK,19600922-0085,+45,(759)977-9475x93847,1960-09-22,True
Oskari,Kokko,Yrttimaanpolku 710,Jyväskylä,85098,Finland,FI,20000726-4292,+358,+358 38 4510063,2000-07-26,True
Maria,Mohammed,Kyrkvägen 8,Sundsvall,99339,Sverige,SE,19740620-8279,+46,08-089 48 50,1974-06-20,True
Christer,Eriksson,Industrivägen 23,Jönköping,64740,Sverige,SE,19461218-4014,+46,08-805 748 94,1946-12-18,True
Valtteri,Kantola,Haaksipolku 1,Sauvo,93257,Finland,FI,19980522-136R,+358,(+358) 035340790,1998-05-22,True
Brian,Bryant,Joshua Hill 60027,Danielshire,68112,Danmark,DK,19780421-2756,+45,001-586-544-9526x314,1978-04-21,True
Elisabeth,Johnsen,Knudsenhaugen 498,Ivareid,9202,Norge,NO,19671215-4222,+47,+47 82 63 96 23,1967-12-15,True
Sigrid,Bengtsson,Furugränd 884,Gävle,12132,Sverige,SE,19970712-1468,+46,0216-59 04 99,1997-07-12,True
Michelle,Black,Crystal Summit 237,Port Roberta,45840,Danmark,DK,19590809-4160,+45,990.886.1859,1959-08-09,True
Rebecka,Sandin,Ekgränd 46,Skellefteå,24490,Sverige,SE,19480113-0358,+46,0534-804 09,1948-01-13,True
Inge,Eriksson,Stationsvägen 4,Skellefteå,95081,Sverige,SE,19940617-4047,+46,+46 (0)94 52 99 76,1994-06-17,True
Maryam,Söderlund,Björktorget 5,Östersund,36456,Sverige,SE,19800725-4082,+46,094-29 14 84,1980-07-25,True
Margareta,Eriksson,Stationsgatan 590,Alingsås,46439,Sverige,SE,19731102-0747,+46,0044-90 32 14,1973-11-02,True
Evy,Nielsen,Strandstigen 344,Norrköping,31768,Sverige,SE,19991101-7011,+46,+46 (0)170 401 20,1999-11-01,True
Inger,Tangen,Hanssenengen 06B,Audsjøen,1966,Norge,NO,19480206-4454,+47,475 31 046,1948-02-06,True
Antero,Saarela,Malminkartanonpolku 503,Toivakka,22357,Finland,FI,19710706-765B,+358,0958642716,1971-07-06,True
Clarence,Glenn,Ashley Branch 074,Lake Brent,65342,Danmark,DK,19740510-9829,+45,(608)847-7199x0630,1974-05-10,True
Anne,Danielsen,Arnesenjordet 27A,Sørensen,5546,Norge,NO,19420126-9554,+47,90076063,1942-01-26,True
Irja,Anttila,Jätkäsaarenkatu 55,Kannonkoski,85927,Finland,FI,19900722-869C,+358,+358 73 1582405,1990-07-22,True
Bryan,Cooper,Jackson Radial 686,Devinview,51399,Danmark,DK,19771119-1225,+45,+1-273-409-9262x13218,1977-11-19,True
Pål,Pettersen,Bakkenvika 2,Fredriksen,9670,Norge,NO,19640625-5351,+47,59796644,1964-06-25,True
Katariina,Seppälä,Eerik Pyhän tie 82,Porvoo,78439,Finland,FI,19950328-3450,+358,+358560200120,1995-03-28,True
Claudia,Persson,Kvarnstigen 63,Borlänge,77025,Sverige,SE,19740517-8595,+46,+46 (0)8 189 463 88,1974-05-17,True
Emma,Hauge,Evensenkroken 167,Egilsjøen,6829,Norge,NO,19810122-9366,+47,48 22 84 17,1981-01-22,True
Carrie,Pace,Monica Fort 03446,Barneshaven,11246,Danmark,DK,19480913-2471,+45,267-969-5676,1948-09-13,True
Kari,Mikkola,Fredrikinbulevardi 248,Enontekiö,43934,Finland,FI,19840614-154W,+358,0558469331,1984-06-14,True
Lennart,Carlsson,Backvägen 4,Alingsås,87520,Sverige,SE,19720811-2984,+46,08-838 506 02,1972-08-11,True
Conny,Sundström,Skogsvägen 877,Jönköping,41976,Sverige,SE,19781114-5419,+46,08-70 18 29,1978-11-14,True
Alexander,Lien,Holmhagen 6,Knutsen,7887,Norge,NO,19991005-0757,+47,74 75 71 21,1999-10-05,True
